ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 13:29:00,525.0,1663.0,-1138.0,233.66,233.5,233.66,233.58
2024-10-22 13:29:01,134.0,234.0,-100.0,233.66,233.5,233.66,233.58
2024-10-22 13:29:07,528.0,126.0,402.0,233.56,233.56,233.66,233.61
2024-10-22 13:29:10,167.0,0.0,167.0,233.56,233.56,233.66,233.61
2024-10-22 13:29:17,3092.0,1200.0,1892.0,233.63,233.63,233.7,233.665
2024-10-22 13:29:19,1252.0,2245.0,-993.0,233.69,233.63,233.7,233.665
2024-10-22 13:29:22,3884.0,5696.0,-1812.0,233.69,233.63,233.75,233.69
2024-10-22 13:29:27,1242.0,0.0,1242.0,233.7,233.7,233.75,233.725
2024-10-22 13:29:29,200.0,0.0,200.0,233.7,233.7,233.75,233.725
2024-10-22 13:29:30,1703.0,3400.0,-1697.0,233.7,233.7,233.81,233.755
2024-10-22 13:29:31,243.0,250.0,-7.0,233.7,233.7,233.81,233.755
2024-10-22 13:29:32,0.0,1302.0,-1302.0,233.81,233.7,233.84,233.77
2024-10-22 13:29:33,0.0,3200.0,-3200.0,233.82,233.7,233.82,233.76
2024-10-22 13:29:35,0.0,3100.0,-3100.0,233.82,233.7,233.88,233.79
2024-10-22 13:29:37,2000.0,1160.0,840.0,233.87,233.7,233.88,233.79
2024-10-22 13:29:40,400.0,1425.0,-1025.0,233.87,233.7,233.88,233.79
2024-10-22 13:29:43,30.0,50.0,-20.0,233.77,233.77,233.88,233.825
2024-10-22 13:29:45,40.0,1279.0,-1239.0,233.85,233.7,233.87,233.785
2024-10-22 13:29:47,2000.0,100.0,1900.0,233.85,233.7,233.85,233.775
2024-10-22 13:29:48,0.0,100.0,-100.0,233.85,233.7,233.87,233.785
2024-10-22 13:29:53,0.0,100.0,-100.0,233.85,233.7,233.85,233.775
2024-10-22 13:29:55,4300.0,2100.0,2200.0,233.74,233.74,233.85,233.795
2024-10-22 13:29:56,3450.0,1200.0,2250.0,233.85,233.74,233.87,233.805
2024-10-22 13:29:57,2000.0,6268.0,-4268.0,233.76,233.74,233.76,233.75
2024-10-22 13:29:58,6183.0,5625.0,558.0,233.79,233.74,233.88,233.81
2024-10-22 13:29:59,3140.0,3200.0,-60.0,233.81,233.74,233.88,233.81
2024-10-22 13:30:00,77220.0,67270.0,9950.0,233.74,233.73,233.76,233.745
2024-10-22 13:30:01,73819.0,51357.0,22462.0,233.67,233.67,233.69,233.68
2024-10-22 13:30:02,47818.0,62406.0,-14588.0,233.79,233.79,233.83,233.81
2024-10-22 13:30:03,69927.0,68721.0,1206.0,234.01,234.0,234.05,234.025
2024-10-22 13:30:04,54676.0,51254.0,3422.0,234.1,234.08,234.1,234.09
2024-10-22 13:30:05,30823.0,34006.0,-3183.0,234.18,234.15,234.18,234.165
2024-10-22 13:30:06,85155.0,88470.0,-3315.0,234.1,234.07,234.1,234.085
2024-10-22 13:30:07,44987.0,39577.0,5410.0,234.08,234.08,234.11,234.095
2024-10-22 13:30:08,21376.0,18244.0,3132.0,234.04,234.01,234.04,234.025
2024-10-22 13:30:09,7508.0,5490.0,2018.0,233.96,233.96,234.0,233.98
2024-10-22 13:30:10,26365.0,32729.0,-6364.0,234.01,234.01,234.05,234.03
2024-10-22 13:30:11,25047.0,11288.0,13759.0,233.97,233.94,233.97,233.955
2024-10-22 13:30:12,23313.0,11285.0,12028.0,233.84,233.84,233.87,233.855
2024-10-22 13:30:13,32350.0,39946.0,-7596.0,233.76,233.76,233.79,233.775
2024-10-22 13:30:14,38373.0,42237.0,-3864.0,233.78,233.78,233.81,233.795
2024-10-22 13:30:15,57024.0,58816.0,-1792.0,233.92,233.92,233.97,233.945
2024-10-22 13:30:16,77750.0,90278.0,-12528.0,233.95,233.95,233.97,233.96
2024-10-22 13:30:17,28719.0,36718.0,-7999.0,234.02,234.02,234.06,234.04
2024-10-22 13:30:18,30122.0,40119.0,-9997.0,234.01,234.01,234.05,234.03
2024-10-22 13:30:19,9722.0,17253.0,-7531.0,234.05,234.05,234.06,234.055
2024-10-22 13:30:20,14828.0,19122.0,-4294.0,234.06,234.04,234.06,234.05
2024-10-22 13:30:21,25607.0,33411.0,-7804.0,234.08,234.08,234.11,234.095
2024-10-22 13:30:22,22055.0,23464.0,-1409.0,234.06,234.06,234.08,234.07
2024-10-22 13:30:23,31952.0,37009.0,-5057.0,234.12,234.09,234.12,234.105
2024-10-22 13:30:24,17470.0,29141.0,-11671.0,234.09,234.09,234.14,234.115
2024-10-22 13:30:25,17579.0,31594.0,-14015.0,234.08,234.07,234.11,234.09
2024-10-22 13:30:26,29980.0,31775.0,-1795.0,234.11,234.07,234.11,234.09
2024-10-22 13:30:27,19508.0,31870.0,-12362.0,234.08,234.05,234.08,234.065
2024-10-22 13:30:28,15687.0,25964.0,-10277.0,234.01,233.98,234.01,233.995
2024-10-22 13:30:29,20624.0,33201.0,-12577.0,234.09,234.09,234.14,234.115
2024-10-22 13:30:30,20066.0,37819.0,-17753.0,234.1,234.08,234.11,234.095
